Company Name,Scrip Name,URL,Sector,Identifier
Almondz Global,AGS,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/almondzglobalsecurities/AGS,financeinvestments,almondzglobalsecurities
Alora Trading,ATC03,https://www.moneycontrol.com/india/stockpricequote/trading/aloratradingcompanylimited/ATC03,trading,aloratradingcompanylimited
Alpex Solar,ASL10,https://www.moneycontrol.com/india/stockpricequote/alpexsolar/alpexsolar/ASL10,alpexsolar,alpexsolar
Alpha Hi-Tech,AHT,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alphahitechfuel/AHT,miscellaneous,alphahitechfuel
Alphalogic Ind,AI85,https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/alphalogicindustries/AI85,engineeringindustrialequipments,alphalogicindustries
Alpine Capital,ACS,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/alpinecapitalservices/ACS,financeinvestments,alpinecapitalservices
Alps Industries,AI12,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/alpsindustries/AI12,textilesgeneral,alpsindustries
Alps Motor Fin,AMF03,https://www.moneycontrol.com/india/stockpricequote/financegeneral/alpsmotorfinance/AMF03,financegeneral,alpsmotorfinance
Alstone Text,SH14,https://www.moneycontrol.com/india/stockpricequote/alstonetext/alstonetextiles/SH14,alstonetext,alstonetextiles
Alufluoride,A01,https://www.moneycontrol.com/india/stockpricequote/chemicals/alufluoride/A01,chemicals,alufluoride
Alumilite Archi,AAL01,https://www.moneycontrol.com/india/stockpricequote/trading/alumilitearchitecturals/AAL01,trading,alumilitearchitecturals
AM Febcon,F03,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03,miscellaneous,amfebcon
AMAL-RE,AR11,https://www.moneycontrol.com/india/stockpricequote/amalre/amalre/AR11,amalre,amalre
Amanaya Venture,AV03,https://www.moneycontrol.com/india/stockpricequote/amanayaventure/amanayaventures/AV03,amanayaventure,amanayaventures
Amar Remedies,AR07,https://www.moneycontrol.com/india/stockpricequote/personalcare/amarremedies/AR07,personalcare,amarremedies
Amarjothi Spin,ASM01,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/amarjothispinningmills/ASM01,textilesspinningcottonblended,amarjothispinningmills
Amba Enterprise,AE18,https://www.moneycontrol.com/india/stockpricequote/electricequipment/ambaenterprises/AE18,electricequipment,ambaenterprises
Ambe Hotel,AHR02,https://www.moneycontrol.com/india/stockpricequote/hotels/ambehotelresorts/AHR02,hotels,ambehotelresorts
Ambica Agar,AA9,https://www.moneycontrol.com/india/stockpricequote/ambicaagar/ambicaagarbathiesaromaindustries/AA9,ambicaagar,ambicaagarbathiesaromaindustries
Ambika Silk,ASM05,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/ambikasilkmillsco/ASM05,textilesprocessing,ambikasilkmillsco
Ambo Agritec,AA17,https://www.moneycontrol.com/india/stockpricequote/consumerfood/amboagritec/AA17,consumerfood,amboagritec
Ambuja Cements,AC18,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,cementmajor,ambujacements
Ambuja Shipping,ASS,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/ambujashippingsoftware/ASS,computerssoftwaremediumsmall,ambujashippingsoftware
AMD Industries,AMD02,https://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02,packaging,amdindustries
American Remedy,AR03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/americanremedies/AR03,pharmaceuticals,americanremedies
Amex Carbonates,ACC01,https://www.moneycontrol.com/india/stockpricequote/chemicals/amexcarbonateschemicals/ACC01,chemicals,amexcarbonateschemicals
Ami Computers,ACI04,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/amicomputersindia/ACI04,computerssoftwaremediumsmall,amicomputersindia
AMIC Forging,AFL02,https://www.moneycontrol.com/india/stockpricequote/autoancillariescastingsforgings/amicforging/AFL02,autoancillariescastingsforgings,amicforging
Amines Plast,AP07,https://www.moneycontrol.com/india/stockpricequote/chemicals/aminesplasticizers/AP07,chemicals,aminesplasticizers
Amit Intern,AI15,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/amitinternational/AI15,textileshosieryknitwear,amitinternational
AMJ Land,PPP,https://www.moneycontrol.com/india/stockpricequote/paper/amjland/PPP,paper,amjland
Ammana Bio,ABP,https://www.moneycontrol.com/india/stockpricequote/chemicals/ammanabiopharma/ABP,chemicals,ammanabiopharma
